bhk,type,area,price,status,age,latitude,longitude
1,0.2,430,0.34909999999999997,0,1.0,19.018051,72.845021
3,0.2,845,2.35,0,1.0,19.1555943,72.8552537
2,0.2,610,1.73,0,1.0,19.1555943,72.8552537
2,0.2,610,1.73,0,1.0,19.1555943,72.8552537
3,0.2,845,2.35,0,1.0,19.1555943,72.8552537
3,0.2,845,2.35,0,1.0,19.1555943,72.8552537
1,0.2,425,0.36,0,1.0,18.96904755,72.82118225
1,0.2,425,0.36,0,1.0,18.96904755,72.82118225
2,0.2,651,0.56,0,1.0,18.96904755,72.82118225
2,0.2,651,0.56,0,1.0,18.96904755,72.82118225
1,0.2,425,0.36,0,1.0,18.96904755,72.82118225
1,0.2,425,0.36,0,1.0,18.96904755,72.82118225
2,0.2,651,0.56,0,1.0,18.96904755,72.82118225
2,0.2,651,0.56,0,1.0,18.96904755,72.82118225
1,0.2,473,0.6965,0,1.0,19.283337,72.884026
3,0.2,946,1.38,0,1.0,19.283337,72.884026
3,0.2,946,1.38,0,1.0,19.283337,72.884026
2,0.2,667,0.9499,0,1.0,19.283337,72.884026
2,0.2,667,0.9499,0,1.0,19.283337,72.884026
2,0.2,682,0.9714,0,1.0,19.283337,72.884026
2,0.2,682,0.9714,0,1.0,19.283337,72.884026
3,0.2,1133,4.79,0,1.0,19.1918304,72.8427537
3,0.2,1133,4.79,0,1.0,19.1918304,72.8427537
3,0.6,2187,1.49,0,1.0,18.96904755,72.82118225
3,0.6,2187,1.49,0,1.0,18.96904755,72.82118225
2,0.2,579,1.81,0,1.0,19.0656475,72.8758072
2,0.2,579,1.81,0,1.0,19.0656475,72.8758072
2,0.2,486,0.36,1,1.0,19.1587105,73.235199
2,0.2,486,0.36,1,1.0,19.1587105,73.235199
1,0.2,361,0.28,1,1.0,19.1587105,73.235199
1,0.2,361,0.28,1,1.0,19.1587105,73.235199
1,0.2,377,0.282,1,1.0,19.1587105,73.235199
1,0.2,377,0.282,1,1.0,19.1587105,73.235199
1,0.2,382,0.2861,1,1.0,19.1587105,73.235199
1,0.2,382,0.2861,1,1.0,19.1587105,73.235199
1,0.2,535,0.1765,0,1.0,19.1101315,72.829636
1,0.2,565,0.1864,0,1.0,19.1101315,72.829636
1,0.0,380,0.1368,0,1.0,19.1101315,72.829636
1,0.2,345,0.1991,1,1.0,19.1669932,73.2390733
1,0.2,352,0.205,1,1.0,19.1669932,73.2390733
1,0.2,294,0.16,1,1.0,19.1669932,73.2390733
1,0.2,366,0.21280000000000002,1,1.0,19.1669932,73.2390733
1,0.2,333,0.19329999999999997,1,1.0,19.1669932,73.2390733
1,0.2,358,0.2089,1,1.0,19.1669932,73.2390733
1,0.2,372,0.2167,1,1.0,19.1669932,73.2390733
1,0.2,380,0.2206,1,1.0,19.1669932,73.2390733
1,0.2,675,0.3,0,1.0,18.7987175,73.3327179
1,0.2,675,0.3,0,1.0,18.7987175,73.3327179
2,0.2,970,0.4275,0,1.0,18.7987175,73.3327179
2,0.2,970,0.4275,0,1.0,18.7987175,73.3327179
1,0.2,605,0.265,0,1.0,18.7987175,73.3327179
